Date,Tag,Species,Latitude,Longitude,Time,Tag.Date
7/3/2017,23,SMB,46.185555,-89.695646,Late-morning,23-07 03 2017
7/6/2017,23,SMB,46.182278,-89.693028,Late-morning,23-07 06 2017
7/13/2017,23,SMB,46.181778,-89.695639,Late-morning,23-07 013 2017
7/17/2017,23,SMB,46.183861,-89.69675,Late-morning,23-07 017 2017
7/20/2017,23,SMB,46.184361,-89.696333,last light - 9:00pm-10:00pm,23-07 020 2017
7/24/2017,23,SMB,46.18405,-89.696767,Late-morning,23-07 024 2017
7/28/2017,23,SMB,46.18313,-89.69733,947,23-07 028 2017
7/31/2017,23,SMB,46.18264,-89.69765,942,23-07 031 2017
8/3/2017,23,SMB,46.18302,-89.69752,10:15 pm - 11:45 pm,23-08 03 2017
8/3/2017,23,SMB,46.18435,-89.69653,1015,23-08 03 2017
8/8/2017,23,SMB,46.18296,-89.697777,1135,23-08 08 2017
8/11/2017,23,SMB,46.18291,-89.69769,1020,23-08 011 2017
8/14/2017,23,SMB,46.182958,-89.697894,mid-morning 800-1000,23-08 014 2017
8/17/2017,23,SMB,46.18296,-89.69777,1006,23-08 017 2017
8/21/2017,23,SMB,46.18367,-89.69678,AM,23-08 021 2017
8/25/2017,23,SMB,46.18223,-89.69759,AM,23-08 025 2017
8/29/2017,23,SMB,46.18316,-89.69731,2:14pm,23-08 029 2017
8/30/2017,23,SMB,46.18303,-89.69773,9:15-10:15pm,23-08 030 2017
9/1/2017,23,SMB,46.18324,-89.69698,1019,23-09 01 2017
9/5/2017,23,SMB,46.18292,-89.69765,1114,23-09 05 2017
9/8/2017,23,SMB,46.182883,-89.697783,1034,23-09 08 2017
9/12/2017,23,SMB,46.183367,-89.696783,1139,23-09 012 2017
9/14/2017,23,SMB,46.184035,-89.696388,1550,23-09 014 2017
9/25/2017,23,SMB,46.18408,-89.69675,1252,23-09 025 2017
9/28/2017,23,SMB,46.18247,-89.6976,1230-1430,23-09 028 2017
10/4/2017,23,SMB,46.18296,-89.69765,1406,23-010 04 2017
7/24/2017,93,SMB,46.180767,-89.68505,Late-morning,93-07 024 2017
7/28/2017,93,SMB,46.18217,-89.69114,926,93-07 028 2017
7/31/2017,93,SMB,46.18409,-89.69141,1024,93-07 031 2017
8/3/2017,93,SMB,46.18311,-89.6968,10:15 pm - 11:45 pm,93-08 03 2017
8/3/2017,93,SMB,46.18548,-89.69539,1000,93-08 03 2017
8/8/2017,93,SMB,46.18232,-89.69765,1139,93-08 08 2017
8/11/2017,93,SMB,46.18267,-89.69676,1028,93-08 011 2017
8/14/2017,93,SMB,46.185814,-89.693882,mid-morning 800-1000,93-08 014 2017
8/17/2017,93,SMB,46.18582,-89.69382,1015,93-08 017 2017
8/21/2017,93,SMB,46.18574,-89.69215,AM,93-08 021 2017
8/25/2017,93,SMB,46.1864,-89.69408,AM,93-08 025 2017
8/29/2017,93,SMB,46.18586,-89.69189,2:01pm,93-08 029 2017
8/30/2017,93,SMB,46.18277,-89.68874,9:15-10:15pm,93-08 030 2017
9/1/2017,93,SMB,46.18577,-89.69489,1123,93-09 01 2017
9/5/2017,93,SMB,46.1829,-89.69778,1118,93-09 05 2017
9/8/2017,93,SMB,46.18595,-89.69195,1053,93-09 08 2017
9/12/2017,93,SMB,46.18195,-89.690983,1049,93-09 012 2017
9/14/2017,93,SMB,46.182283,-89.697567,1544,93-09 014 2017
9/25/2017,93,SMB,46.1817,-89.69817,1241,93-09 025 2017
9/28/2017,93,SMB,46.18013,-89.69904,1230-1430,93-09 028 2017
10/4/2017,93,SMB,46.18302,-89.69767,1407,93-010 04 2017
7/24/2017,184,MUSKY,46.18205,-89.68485,Late-morning,184-07 024 2017
7/28/2017,184,MUSKY,46.18206,-89.68478,1018,184-07 028 2017
7/31/2017,184,MUSKY,46.18198,-89.68456,1045,184-07 031 2017
8/3/2017,184,MUSKY,46.1821,-89.68472,10:15 pm - 11:45 pm,184-08 03 2017
8/3/2017,184,MUSKY,46.18201,-89.68467,1133,184-08 03 2017
8/8/2017,184,MUSKY,46.1821,-89.68478,1036,184-08 08 2017
8/11/2017,184,MUSKY,46.181983,-89.6845,938,184-08 011 2017
8/14/2017,184,MUSKY,46.18199,-89.6845,mid-morning 800-1000,184-08 014 2017
8/17/2017,184,MUSKY,46.18201,-89.68448,905,184-08 017 2017
8/21/2017,184,MUSKY,46.18201,-89.68468,AM,184-08 021 2017
8/25/2017,184,MUSKY,46.18191,-89.68483,AM,184-08 025 2017
8/29/2017,184,MUSKY,46.18203,-89.68446,12:47pm,184-08 029 2017
8/30/2017,184,MUSKY,46.18199,-89.68445,9:15-10:15pm,184-08 030 2017
9/1/2017,184,MUSKY,46.18199,-89.68438,942,184-09 01 2017
9/5/2017,184,MUSKY,46.18195,-89.68437,1000,184-09 05 2017
9/8/2017,184,MUSKY,46.18201,-89.68443,928,184-09 08 2017
9/12/2017,184,MUSKY,46.18205,-89.684533,953,184-09 012 2017
9/14/2017,184,MUSKY,46.182135,-89.684608,1459,184-09 014 2017
9/25/2017,184,MUSKY,46.18199,-89.68456,1142,184-09 025 2017
9/28/2017,184,MUSKY,46.18201,-89.68443,1230-1430,184-09 028 2017
10/4/2017,184,MUSKY,46.182,-89.68441,1321,184-010 04 2017
7/24/2017,203,WAE,46.1809,-89.68525,Late-morning,203-07 024 2017
7/28/2017,203,WAE,46.18088,-89.68531,1021,203-07 028 2017
7/31/2017,203,WAE,46.18213,-89.69147,1017,203-07 031 2017
8/3/2017,203,WAE,46.18198,-89.69162,1044,203-08 03 2017
8/3/2017,203,WAE,46.18247,-89.6907,10:15 pm - 11:45 pm,203-08 03 2017
8/8/2017,203,WAE,46.18214,-89.69128,1100,203-08 08 2017
8/11/2017,203,WAE,46.18227,-89.69075,959,203-08 011 2017
8/14/2017,203,WAE,46.18224,-89.691215,mid-morning 800-1000,203-08 014 2017
8/17/2017,203,WAE,46.18173,-89.69147,944,203-08 017 2017
8/21/2017,203,WAE,46.18232,-89.69146,AM,203-08 021 2017
8/25/2017,203,WAE,46.18187,-89.69137,AM,203-08 025 2017
8/29/2017,203,WAE,46.18199,-89.69205,2:36pm,203-08 029 2017
8/30/2017,203,WAE,46.18232,-89.69044,9:15-10:15pm,203-08 030 2017
9/1/2017,203,WAE,46.18177,-89.69135,1049,203-09 01 2017
9/5/2017,203,WAE,46.18196,-89.69167,1133,203-09 05 2017
9/8/2017,203,WAE,46.18225,-89.691417,1013,203-09 08 2017
9/12/2017,203,WAE,46.181917,-89.691367,1043,203-09 012 2017
9/14/2017,203,WAE,46.1821,-89.6915,1523,203-09 014 2017
9/25/2017,203,WAE,46.18207,-89.69159,1217,203-09 025 2017
9/28/2017,203,WAE,46.18193,-89.69159,1230-1430,203-09 028 2017
10/4/2017,203,WAE,46.18201,-89.69106,1348,203-010 04 2017
7/3/2017,244,WAE,46.181944,-89.69111,Late-morning,244-07 03 2017
7/6/2017,244,WAE,46.182083,-89.691,Late-morning,244-07 06 2017
7/13/2017,244,WAE,46.181933,-89.6919,Late-morning,244-07 013 2017
7/17/2017,244,WAE,46.182139,-89.691306,Late-morning,244-07 017 2017
7/24/2017,244,WAE,46.181717,-89.691667,Late-morning,244-07 024 2017
7/28/2017,244,WAE,46.18211,-89.69132,917,244-07 028 2017
7/31/2017,244,WAE,46.18191,-89.69122,1001,244-07 031 2017
8/3/2017,244,WAE,46.18138,-89.69661,10:15 pm - 11:45 pm,244-08 03 2017
8/3/2017,244,WAE,46.18225,-89.69157,1046,244-08 03 2017
8/8/2017,244,WAE,46.18215,-89.69115,1103,244-08 08 2017
8/11/2017,244,WAE,46.18187,-89.6913,1001,244-08 011 2017
8/14/2017,244,WAE,46.18185,-89.69145,mid-morning 800-1000,244-08 014 2017
8/17/2017,244,WAE,46.18209,-89.69144,945,244-08 017 2017
8/21/2017,244,WAE,46.18217,-89.69111,AM,244-08 021 2017
8/25/2017,244,WAE,46.18218,-89.69167,AM,244-08 025 2017
8/29/2017,244,WAE,46.18206,-89.69105,1:25pm,244-08 029 2017
8/30/2017,244,WAE,46.18052,-89.69753,9:15-10:15pm,244-08 030 2017
9/1/2017,244,WAE,46.18242,-89.69151,1043,244-09 01 2017
9/5/2017,244,WAE,46.18232,-89.69166,1132,244-09 05 2017
9/8/2017,244,WAE,46.1826,-89.691433,1015,244-09 08 2017
9/12/2017,244,WAE,46.182017,-89.691483,1044,244-09 012 2017
9/14/2017,244,WAE,46.182083,-89.69135,1521,244-09 014 2017
9/25/2017,244,WAE,46.18192,-89.69142,1219,244-09 025 2017
9/28/2017,244,WAE,46.18189,-89.69148,1230-1430,244-09 028 2017
10/4/2017,244,WAE,46.18187,-89.69166,1338,244-010 04 2017
7/24/2017,264,WAE,46.181883,-89.691567,Late-morning,264-07 024 2017
7/28/2017,264,WAE,46.1815,-89.69257,933,264-07 028 2017
7/31/2017,264,WAE,46.18163,-89.69464,953,264-07 031 2017
8/3/2017,264,WAE,46.18164,-89.69442,1034,264-08 03 2017
8/3/2017,264,WAE,46.18166,-89.69359,10:15 pm - 11:45 pm,264-08 03 2017
8/8/2017,264,WAE,46.18153,-89.69366,1151,264-08 08 2017
8/11/2017,264,WAE,46.18165,-89.69397,1016,264-08 011 2017
8/14/2017,264,WAE,46.181511,-89.693613,mid-morning 800-1000,264-08 014 2017
8/17/2017,264,WAE,46.18156,-89.69378,955,264-08 017 2017
8/21/2017,264,WAE,46.18148,-89.69378,AM,264-08 021 2017
8/25/2017,264,WAE,46.18164,-89.69405,AM,264-08 025 2017
8/29/2017,264,WAE,46.18165,-89.69522,2:23pm,264-08 029 2017
8/30/2017,264,WAE,46.18161,-89.69366,9:15-10:15pm,264-08 030 2017
9/1/2017,264,WAE,46.18167,-89.69521,1035,264-09 01 2017
9/5/2017,264,WAE,46.18156,-89.6937,1107,264-09 05 2017
9/8/2017,264,WAE,46.181533,-89.693683,1025,264-09 08 2017
9/12/2017,264,WAE,46.181576,-89.693676,1112,264-09 012 2017
9/14/2017,264,WAE,46.181767,-89.69365,1532,264-09 014 2017
9/25/2017,264,WAE,46.1816,-89.69378,1233,264-09 025 2017
9/28/2017,264,WAE,46.18173,-89.69365,1230-1430,264-09 028 2017
10/4/2017,264,WAE,46.18163,-89.69354,1353,264-010 04 2017
7/24/2017,283,WAE,46.181217,-89.685267,Late-morning,283-07 024 2017
7/28/2017,283,WAE,46.18114,-89.68503,1020,283-07 028 2017
7/31/2017,283,WAE,46.18089,-89.68542,1041,283-07 031 2017
8/3/2017,283,WAE,46.18129,-89.68519,1117,283-08 03 2017
8/3/2017,283,WAE,46.18151,-89.68452,10:15 pm - 11:45 pm,283-08 03 2017
8/8/2017,283,WAE,46.18125,-89.68514,1041,283-08 08 2017
8/11/2017,283,WAE,46.18106,-89.6856,947,283-08 011 2017
8/14/2017,283,WAE,46.18098,-89.68581,mid-morning 800-1000,283-08 014 2017
8/17/2017,283,WAE,46.18108,-89.68557,914,283-08 017 2017
8/21/2017,283,WAE,46.18114,-89.68508,AM,283-08 021 2017
8/25/2017,283,WAE,46.1813,-89.68606,AM,283-08 025 2017
8/29/2017,283,WAE,46.18102,-89.68548,1:01pm,283-08 029 2017
8/30/2017,283,WAE,46.18179,-89.68436,9:15-10:15pm,283-08 030 2017
9/1/2017,283,WAE,46.18113,-89.68532,1104,283-09 01 2017
9/5/2017,283,WAE,46.18073,-89.68537,1008,283-09 05 2017
9/8/2017,283,WAE,46.1825,-89.69125,1016,283-09 08 2017
9/12/2017,283,WAE,46.181983,-89.691583,1045,283-09 012 2017
9/14/2017,283,WAE,46.181967,-89.690817,1518,283-09 014 2017
9/25/2017,283,WAE,46.18116,-89.68515,1153,283-09 025 2017
9/28/2017,283,WAE,46.18086,-89.68592,1230-1430,283-09 028 2017
10/4/2017,283,WAE,46.1804,-89.68566,1330,283-010 04 2017
7/3/2017,333,SMB,46.181611,-89.691806,Late-morning,333-07 03 2017
7/6/2017,333,SMB,46.182167,-89.6905,Late-morning,333-07 06 2017
7/13/2017,333,SMB,46.18315,-89.696989,Late-morning,333-07 013 2017
7/17/2017,333,SMB,46.183111,-89.697083,Late-morning,333-07 017 2017
7/20/2017,333,SMB,46.182639,-89.697556,last light - 9:00pm-10:00pm,333-07 020 2017
7/24/2017,333,SMB,46.182483,-89.697017,Late-morning,333-07 024 2017
7/28/2017,333,SMB,46.18117,-89.69891,944,333-07 028 2017
7/31/2017,333,SMB,46.18153,-89.69852,945,333-07 031 2017
8/3/2017,333,SMB,46.18219,-89.6981,10:15 pm - 11:45 pm,333-08 03 2017
8/3/2017,333,SMB,46.18243,-89.69753,1019,333-08 03 2017
8/8/2017,333,SMB,46.18081,-89.69836,1202,333-08 08 2017
8/11/2017,333,SMB,46.18133,-89.69871,1023,333-08 011 2017
8/14/2017,333,SMB,46.182988,-89.696295,mid-morning 800-1000,333-08 014 2017
8/17/2017,333,SMB,46.18158,-89.69855,1002,333-08 017 2017
8/21/2017,333,SMB,46.18272,-89.69727,AM,333-08 021 2017
8/25/2017,333,SMB,46.18254,-89.69759,AM,333-08 025 2017
8/29/2017,333,SMB,46.18105,-89.69901,2:19pm,333-08 029 2017
8/30/2017,333,SMB,46.18098,-89.69855,9:15-10:15pm,333-08 030 2017
9/1/2017,333,SMB,46.18134,-89.69865,1026,333-09 01 2017
9/5/2017,333,SMB,46.18169,-89.69832,1112,333-09 05 2017
9/8/2017,333,SMB,46.18285,-89.697567,1033,333-09 08 2017
9/12/2017,333,SMB,46.182567,-89.69765,1137,333-09 012 2017
9/14/2017,333,SMB,46.182533,-89.697517,1543,333-09 014 2017
9/25/2017,333,SMB,46.18215,-89.69779,1248,333-09 025 2017
9/28/2017,333,SMB,46.18137,-89.69871,1230-1430,333-09 028 2017
10/4/2017,333,SMB,46.18155,-89.69853,1404,333-010 04 2017
7/24/2017,343,SMB,46.18015,-89.686083,Late-morning,343-07 024 2017
7/28/2017,343,SMB,46.1802,-89.68597,904,343-07 028 2017
7/31/2017,343,SMB,46.18032,-89.68571,1037,343-07 031 2017
8/3/2017,343,SMB,46.18069,-89.68553,10:15 pm - 11:45 pm,343-08 03 2017
8/3/2017,343,SMB,46.18066,-89.68524,1111,343-08 03 2017
8/8/2017,343,SMB,46.181,-89.68519,1027,343-08 08 2017
8/11/2017,343,SMB,46.18068,-89.68543,950,343-08 011 2017
8/14/2017,343,SMB,46.18026,-89.68614,mid-morning 800-1000,343-08 014 2017
8/17/2017,343,SMB,46.18045,-89.68571,1028,343-08 017 2017
8/21/2017,343,SMB,46.18206,-89.69113,AM,343-08 021 2017
8/25/2017,343,SMB,46.18192,-89.69152,AM,343-08 025 2017
8/29/2017,343,SMB,46.18192,-89.69119,1:28pm,343-08 029 2017
8/30/2017,343,SMB,46.1824,-89.69069,9:15-10:15pm,343-08 030 2017
9/1/2017,343,SMB,46.18181,-89.69149,1049,343-09 01 2017
9/5/2017,343,SMB,46.18035,-89.68574,1015,343-09 05 2017
9/8/2017,343,SMB,46.180733,-89.68575,946,343-09 08 2017
9/12/2017,343,SMB,46.180733,-89.685467,1014,343-09 012 2017
9/14/2017,343,SMB,46.180883,-89.68525,1502,343-09 014 2017
9/25/2017,343,SMB,46.18018,-89.68615,1330,343-09 025 2017
9/28/2017,343,SMB,46.18057,-89.68549,1230-1430,343-09 028 2017
10/4/2017,343,SMB,46.1806,-89.6854,1324,343-010 04 2017
7/3/2017,353,MUSKY,46.181,-89.684694,Late-morning,353-07 03 2017
7/6/2017,353,MUSKY,46.180861,-89.685361,Late-morning,353-07 06 2017
7/13/2017,353,MUSKY,46.181017,-89.684833,Late-morning,353-07 013 2017
7/17/2017,353,MUSKY,46.181806,-89.684472,Late-morning,353-07 017 2017
7/20/2017,353,MUSKY,46.181111,-89.684917,last light - 9:00pm-10:00pm,353-07 020 2017
7/24/2017,353,MUSKY,46.180133,-89.686033,Late-morning,353-07 024 2017
7/28/2017,353,MUSKY,46.18095,-89.68473,901,353-07 028 2017
7/31/2017,353,MUSKY,46.1801,-89.68584,1039,353-07 031 2017
8/3/2017,353,MUSKY,46.18096,-89.68482,1013,353-08 03 2017
8/3/2017,353,MUSKY,46.18106,-89.68468,10:15 pm - 11:45 pm,353-08 03 2017
8/8/2017,353,MUSKY,46.18057,-89.68517,1018,353-08 08 2017
8/11/2017,353,MUSKY,46.18016,-89.68488,952,353-08 011 2017
8/14/2017,353,MUSKY,46.1809,-89.685,mid-morning 800-1000,353-08 014 2017
8/17/2017,353,MUSKY,46.18013,-89.68488,917,353-08 017 2017
8/21/2017,353,MUSKY,46.18025,-89.68513,AM,353-08 021 2017
8/25/2017,353,MUSKY,46.18077,-89.68514,AM,353-08 025 2017
8/29/2017,353,MUSKY,46.1814,-89.68424,1:07pm,353-08 029 2017
8/30/2017,353,MUSKY,46.18035,-89.68515,9:15-10:15pm,353-08 030 2017
9/1/2017,353,MUSKY,46.18022,-89.6851,1110,353-09 01 2017
9/5/2017,353,MUSKY,46.18094,-89.68671,1004,353-09 05 2017
9/8/2017,353,MUSKY,46.180083,-89.685067,935,353-09 08 2017
9/12/2017,353,MUSKY,46.181283,-89.684483,1008,353-09 012 2017
9/14/2017,353,MUSKY,46.180117,-89.685867,1506,353-09 014 2017
9/25/2017,353,MUSKY,46.18081,-89.68521,1156,353-09 025 2017
