date,replicate,treatment,burrow_count,mean_burrow_diameter,set
10/16/2022,1,Control,5,18.448,south
10/16/2022,1,Compact,8,20.28,south
10/16/2022,1,Rake,7,22.43571429,south
10/16/2022,1,Marine Debris,4,15.3225,south
10/16/2022,2,Control,9,26.76444444,south
10/16/2022,2,Compact,8,27.3125,south
10/16/2022,2,Rake,6,25.11833333,south
10/16/2022,2,Marine Debris,5,15.272,south
10/16/2022,3,Control,7,19.52714286,south
10/16/2022,3,Compact,7,16.50285714,south
10/16/2022,3,Rake,14,17.13714286,south
10/16/2022,3,Marine Debris,12,15.445,south
10/16/2022,4,Control,9,23.84222222,south
10/16/2022,4,Compact,17,19.67176471,south
10/16/2022,4,Rake,6,17.78,south
10/16/2022,4,Marine Debris,6,23.875,south
10/16/2022,5,Control,9,16.24333333,south
10/16/2022,5,Compact,5,15.738,south
10/16/2022,5,Rake,6,11.61666667,south
10/16/2022,5,Marine Debris,4,24.31,south
10/16/2022,6,Control,10,29.374,north
10/16/2022,6,Compact,8,26.05875,north
10/16/2022,6,Rake,8,24.405,north
10/16/2022,6,Marine Debris,8,24.21375,north
10/16/2022,7,Control,10,22.163,north
10/16/2022,7,Compact,7,27.66714286,north
10/16/2022,7,Rake,15,33.53266667,north
10/16/2022,7,Marine Debris,10,19.367,north
10/16/2022,8,Control,7,34.77714286,north
10/16/2022,8,Compact,5,33.53,north
10/16/2022,8,Rake,5,23.156,north
10/16/2022,8,Marine Debris,4,22.29,north
10/16/2022,9,Control,7,14.70285714,north
10/16/2022,9,Compact,4,34.6325,north
10/16/2022,9,Rake,8,20.37375,north
10/16/2022,9,Marine Debris,9,25.81888889,north
10/16/2022,10,Control,14,19.54214286,north
10/16/2022,10,Compact,6,18.13666667,north
10/16/2022,10,Rake,11,19.40818182,north
10/16/2022,10,Marine Debris,5,23.444,north
10/17/2022,1,Control,10,18.53,south
10/17/2022,1,Compact,6,18.595,south
10/17/2022,1,Rake,8,20.905,south
10/17/2022,1,Marine Debris,9,12.60888889,south
10/17/2022,2,Control,11,18.37181818,south
10/17/2022,2,Compact,10,22.12,south
10/17/2022,2,Rake,7,25.20571429,south
10/17/2022,2,Marine Debris,6,13.78,south
10/17/2022,3,Control,7,18.78428571,south
10/17/2022,3,Compact,7,19.12142857,south
10/17/2022,3,Rake,8,23.42875,south
10/17/2022,3,Marine Debris,9,16.48333333,south
10/17/2022,4,Control,6,21.92333333,south
10/17/2022,4,Compact,6,28.25333333,south
10/17/2022,4,Rake,7,30.64285714,south
10/17/2022,4,Marine Debris,5,19.886,south
10/17/2022,5,Control,6,18.40166667,south
10/17/2022,5,Compact,2,8.725,south
10/17/2022,5,Rake,4,17.47,south
10/17/2022,5,Marine Debris,9,18.4,south
10/17/2022,6,Control,10,37.9544,north
10/17/2022,6,Compact,5,26.016,north
10/17/2022,6,Rake,7,27.12714286,north
10/17/2022,6,Marine Debris,7,28.09571429,north
10/17/2022,7,Control,9,27.18555556,north
10/17/2022,7,Compact,3,28.73,north
10/17/2022,7,Rake,14,36.12571429,north
10/17/2022,7,Marine Debris,8,29.2025,north
10/17/2022,8,Control,7,33.20714286,north
10/17/2022,8,Compact,1,31.7,north
10/17/2022,8,Rake,6,31.605,north
10/17/2022,8,Marine Debris,8,27.01,north
10/17/2022,9,Control,3,28.53333333,north
10/17/2022,9,Compact,4,28.39,north
10/17/2022,9,Rake,6,23.81666667,north
10/17/2022,9,Marine Debris,8,21.595,north
10/17/2022,10,Control,5,30.132,north
10/17/2022,10,Compact,0,0,north
10/17/2022,10,Rake,3,26.83,north
10/17/2022,10,Marine Debris,8,23.11625,north
10/18/2022,1,Control,2,22.73,south
10/18/2022,1,Compact,3,28.39333333,south
10/18/2022,1,Rake,2,31.32,south
10/18/2022,1,Marine Debris,2,20.125,south
10/18/2022,2,Control,6,19.465,south
10/18/2022,2,Compact,4,31.0675,south
10/18/2022,2,Rake,2,20.06,south
10/18/2022,2,Marine Debris,4,20.8425,south
10/18/2022,3,Control,5,24.36,south
10/18/2022,3,Compact,6,14.86,south
10/18/2022,3,Rake,4,28.4025,south
10/18/2022,3,Marine Debris,8,28.60125,south
10/18/2022,4,Control,3,12.13666667,south
10/18/2022,4,Compact,5,32.47,south
10/18/2022,4,Rake,5,17.972,south
10/18/2022,4,Marine Debris,5,20.43,south
10/18/2022,5,Control,3,20.92,south
10/18/2022,5,Compact,0,0,south
10/18/2022,5,Rake,0,0,south
10/18/2022,5,Marine Debris,2,23.995,south
10/18/2022,6,Control,5,36.674,north
10/18/2022,6,Compact,4,38.22,north
10/18/2022,6,Rake,3,40.33666667,north
10/18/2022,6,Marine Debris,7,26.53571429,north
10/18/2022,7,Control,3,29.15333333,north
10/18/2022,7,Compact,4,24.25,north
10/18/2022,7,Rake,6,26.88833333,north
10/18/2022,7,Marine Debris,4,29.9225,north
10/18/2022,8,Control,5,47.982,north
10/18/2022,8,Compact,4,24.1725,north
10/18/2022,8,Rake,1,66,north
10/18/2022,8,Marine Debris,4,39.7075,north
10/18/2022,9,Control,2,17.805,north
10/18/2022,9,Compact,3,34.86333333,north
10/18/2022,9,Rake,8,36.7625,north
10/18/2022,9,Marine Debris,9,23.52444444,north
10/18/2022,10,Control,4,23.6175,north
10/18/2022,10,Compact,1,13.56,north
10/18/2022,10,Rake,1,19.43,north
10/18/2022,10,Marine Debris,6,21.35833333,north
10/19/2022,1,Control,1,24.85,south
10/19/2022,1,Compact,2,23.595,south
10/19/2022,1,Rake,0,0,south
10/19/2022,1,Marine Debris,1,26.38,south
10/19/2022,2,Control,2,16.13,south
10/19/2022,2,Compact,5,24.468,south
10/19/2022,2,Rake,0,0,south
10/19/2022,2,Marine Debris,0,0,south
