date,replicate,treatment,original_count,burrow_count,burrow_count_comp,original_diameter,mean_burrow_diameter,mean_burrow_diameter_comp,set,mean_air_temp,mean_baro,mean_wind_speed,mean_wind_vec,mean_PAR,mean_humidity,site
10/17/2022,1,aControl,5,10,5,18.448,18.53,0.082,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,1
10/17/2022,1,Compact,8,6,-2,20.28,18.595,-1.685,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,2
10/17/2022,1,Rake,7,8,1,22.43571429,20.905,-1.53071429,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,3
10/17/2022,1,Marine Debris,4,9,5,15.3225,12.60888889,-2.71361111,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,4
10/17/2022,2,aControl,9,11,2,26.76444444,18.37181818,-8.39262626,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,5
10/17/2022,2,Compact,8,10,2,27.3125,22.12,-5.1925,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,6
10/17/2022,2,Rake,6,7,1,25.11833333,25.20571429,0.08738096,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,7
10/17/2022,2,Marine Debris,5,6,1,15.272,13.78,-1.492,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,8
10/17/2022,3,aControl,7,7,0,19.52714286,18.78428571,-0.74285715,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,9
10/17/2022,3,Compact,7,7,0,16.50285714,19.12142857,2.61857143,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,10
10/17/2022,3,Rake,14,8,-6,17.13714286,23.42875,6.29160714,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,11
10/17/2022,3,Marine Debris,12,9,-3,15.445,16.48333333,1.03833333,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,12
10/17/2022,4,aControl,9,6,-3,23.84222222,21.92333333,-1.91888889,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,13
10/17/2022,4,Compact,17,6,-11,19.67176471,28.25333333,8.58156862,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,14
10/17/2022,4,Rake,6,7,1,17.78,30.64285714,12.86285714,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,15
10/17/2022,4,Marine Debris,6,5,-1,23.875,19.886,-3.989,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,16
10/17/2022,5,aControl,9,6,-3,16.24333333,18.40166667,2.15833334,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,17
10/17/2022,5,Compact,5,2,-3,15.738,8.725,-7.013,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,18
10/17/2022,5,Rake,6,4,-2,11.61666667,17.47,5.85333333,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,19
10/17/2022,5,Marine Debris,4,9,5,24.31,18.4,-5.91,south,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,20
10/17/2022,6,aControl,10,10,0,29.374,37.9544,8.5804,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,21
10/17/2022,6,Compact,8,5,-3,26.05875,26.016,-0.04275,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,22
10/17/2022,6,Rake,8,7,-1,24.405,27.12714286,2.72214286,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,23
10/17/2022,6,Marine Debris,8,7,-1,24.21375,28.09571429,3.88196429,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,24
10/17/2022,7,aControl,10,9,-1,22.163,27.18555556,5.02255556,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,25
10/17/2022,7,Compact,7,3,-4,27.66714286,28.73,1.06285714,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,26
10/17/2022,7,Rake,15,14,-1,33.53266667,36.12571429,2.59304762,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,27
10/17/2022,7,Marine Debris,10,8,-2,19.367,29.2025,9.8355,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,28
10/17/2022,8,aControl,7,7,0,34.77714286,33.20714286,-1.57,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,29
10/17/2022,8,Compact,5,1,-4,33.53,31.7,-1.83,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,30
10/17/2022,8,Rake,5,6,1,23.156,31.605,8.449,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,31
10/17/2022,8,Marine Debris,4,8,4,22.29,27.01,4.72,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,32
10/17/2022,9,aControl,7,3,-4,14.70285714,28.53333333,13.83047619,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,33
10/17/2022,9,Compact,4,4,0,34.6325,28.39,-6.2425,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,34
10/17/2022,9,Rake,8,6,-2,20.37375,23.81666667,3.44291667,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,35
10/17/2022,9,Marine Debris,9,8,-1,25.81888889,21.595,-4.22388889,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,36
10/17/2022,10,aControl,14,5,-9,19.54214286,30.132,10.58985714,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,37
10/17/2022,10,Compact,6,0,-6,18.13666667,0,-18.13666667,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,38
10/17/2022,10,Rake,11,3,-8,19.40818182,26.83,7.42181818,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,39
10/17/2022,10,Marine Debris,5,8,3,23.444,23.11625,-0.32775,north,22.7656,1012.17,3.8094,228.1729,286.521,80.0031,40
