"date","replicate","treatment","original_count","burrow_count","burrow_count_comp","original_diameter","mean_burrow_diameter","mean_burrow_diameter_comp","set","mean_air_temp","mean_baro","mean_wind_speed","mean_wind_vec","mean_PAR","mean_humidity","site","ztemp.1","ztemp.2","ztemp.3","all","bc_pred","bd_pred"
"10/17/2022","1","aControl", 5,10,  5,18.44800,18.530000,  0.08200000,"south",22.7656,1012.17,3.8094,228.1729,286.521,80.0031,"1", 0.05320242, 0.94585813, 1.68666067,1,  0.52199588,  5.87490494
"10/17/2022","1","Compact", 8, 6, -2,20.28000,18.595000, -1.68500000,"south",22.7656,1012.17,3.8094,228.1729,286.521,80.0031,"2", 0.05320242, 0.94585813, 1.68666067,1, -2.04504063,  0.71840989
"10/17/2022","1","Rake", 7, 8,  1,22.43571,20.905000, -1.53071429,"south",22.7656,1012.17,3.8094,228.1729,286.521,80.0031,"3", 0.05320242, 0.94585813, 1.68666067,1, -1.68642626,  4.03890413
"10/17/2022","1","Marine Debris", 4, 9,  5,15.32250,12.608889, -2.71361111,"south",22.7656,1012.17,3.8094,228.1729,286.521,80.0031,"4", 0.05320242, 0.94585813, 1.68666067,1,  1.18710063,  5.49492748
"10/17/2022","2","aControl", 9,11,  2,26.76444,18.371818, -8.39262626,"south",22.7656,1012.17,3.8094,228.1729,286.521,80.0031,"5", 0.05320242, 0.94585813, 1.68666067,1, -0.60929156,  2.60638811
"10/17/2022","2","Compact", 8,10,  2,27.31250,22.120000, -5.19250000,"south",22.7656,1012.17,3.8094,228.1729,286.521,80.0031,"6", 0.05320242, 0.94585813, 1.68666067,1, -1.05201530, -2.55010693
"10/17/2022","2","Rake", 6, 7,  1,25.11833,25.205714,  0.08738096,"south",22.7656,1012.17,3.8094,228.1729,286.521,80.0031,"7", 0.05320242, 0.94585813, 1.68666067,1, -0.90461659,  0.77038731
"10/17/2022","2","Marine Debris", 5, 6,  1,15.27200,13.780000, -1.49200000,"south",22.7656,1012.17,3.8094,228.1729,286.521,80.0031,"8", 0.05320242, 0.94585813, 1.68666067,1,  0.49821442,  2.22641065
"10/17/2022","3","aControl", 7, 7,  0,19.52714,18.784286, -0.74285715,"south",22.7656,1012.17,3.8094,228.1729,286.521,80.0031,"9", 0.05320242, 0.94585813, 1.68666067,1, -0.24428564,  8.51261396
"10/17/2022","3","Compact", 7, 7,  0,16.50286,19.121429,  2.61857143,"south",22.7656,1012.17,3.8094,228.1729,286.521,80.0031,"10", 0.05320242, 0.94585813, 1.68666067,1, -0.74828216,  3.35611891
"10/17/2022","3","Rake",14, 8, -6,17.13714,23.428750,  6.29160714,"south",22.7656,1012.17,3.8094,228.1729,286.521,80.0031,"11", 0.05320242, 0.94585813, 1.68666067,1, -8.07407745,  6.67661316
"10/17/2022","3","Marine Debris",12, 9, -3,15.44500,16.483333,  1.03833333,"south",22.7656,1012.17,3.8094,228.1729,286.521,80.0031,"12", 0.05320242, 0.94585813, 1.68666067,1, -2.88976767,  8.13263650
"10/17/2022","4","aControl", 9, 6, -3,23.84222,21.923333, -1.91888889,"south",22.7656,1012.17,3.8094,228.1729,286.521,80.0031,"13", 0.05320242, 0.94585813, 1.68666067,1, -3.59438342,  4.56582077
"10/17/2022","4","Compact",17, 6,-11,19.67176,28.253333,  8.58156862,"south",22.7656,1012.17,3.8094,228.1729,286.521,80.0031,"14", 0.05320242, 0.94585813, 1.68666067,1,-10.36986416, -0.59067427
"10/17/2022","4","Rake", 6, 7,  1,17.78000,30.642857, 12.86285714,"south",22.7656,1012.17,3.8094,228.1729,286.521,80.0031,"15", 0.05320242, 0.94585813, 1.68666067,1, -0.47176525,  2.72981997
"10/17/2022","4","Marine Debris", 6, 5, -1,23.87500,19.886000, -3.98900000,"south",22.7656,1012.17,3.8094,228.1729,286.521,80.0031,"16", 0.05320242, 0.94585813, 1.68666067,1,  0.69606389,  4.18584331
